M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
1,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
16,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
32,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
32,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
32,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,640,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,512,True,torch.bfloat16,torch.bfloat16,False,False
64,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False
64,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False
64,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False
